Client_Name,full_date,platform_name,metric_name,metric_category,value,inferred_post,inferred_post_flag
Michigan Minds,2025-04-23,Facebook Ads,Impressions,Reach,25409.0,0,1
Michigan Minds,2025-04-23,Facebook Ads,Frequency,Reach,1.346743,0,1
Michigan Minds,2025-04-23,Facebook Ads,CPM,Cost,1.401865,0,1
Michigan Minds,2025-04-23,Facebook Ads,Clicks,Engagement,85.0,1,1
Michigan Minds,2025-04-23,Facebook Ads,Amount Spent,Cost,35.62,0,1
Michigan Minds,2025-04-23,Facebook Ads,Link Clicks,Engagement,78.0,1,1
Michigan Minds,2025-04-23,Facebook Ads,Cost_like,Cost,0.0,0,1
Michigan Minds,2025-04-23,Facebook Ads,Cost_link_click,Cost,0.456667,0,1
Michigan Minds,2025-04-23,Facebook Ads,Cost_onsite_conversion.messaging_welcome_message_view,Cost,0.0,0,1
Michigan Minds,2025-04-23,Facebook Ads,Cost_page_engagement,Cost,0.439753,0,1
Michigan Minds,2025-04-23,Facebook Ads,Cost_post_engagement,Cost,0.439753,0,1
Michigan Minds,2025-04-23,Facebook Ads,Cost_rsvp,Cost,0.0,0,1
Michigan Minds,2025-04-23,Facebook Ads,Cost_video_view,Cost,0.0,0,1
Michigan Minds,2025-04-23,Facebook Ads,Action_comment,Action,0.0,0,1
Michigan Minds,2025-04-23,Facebook Ads,Action_like,Action,0.0,0,1
Michigan Minds,2025-04-23,Facebook Ads,Action_link_click,Action,78.0,0,1
Michigan Minds,2025-04-23,Facebook Ads,Action_onsite_conversion.messaging_welcome_message_view,Action,0.0,0,1
Michigan Minds,2025-04-23,Facebook Ads,Action_page_engagement,Action,81.0,0,1
Michigan Minds,2025-04-23,Facebook Ads,Action_post,Action,0.0,0,1
Michigan Minds,2025-04-23,Facebook Ads,Action_post_engagement,Action,81.0,0,1
Michigan Minds,2025-04-23,Facebook Ads,Action_post_reaction,Action,3.0,0,1
Michigan Minds,2025-04-23,Facebook Ads,Action_rsvp,Action,0.0,0,1
Michigan Minds,2025-04-23,Facebook Ads,Action_video_view,Action,0.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Reach,Reach,11580.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Impressions,Reach,16634.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Frequency,Reach,1.436442,0,1
Michigan Minds,2025-04-24,Facebook Ads,CPM,Cost,2.104124,0,1
Michigan Minds,2025-04-24,Facebook Ads,Clicks,Engagement,85.0,1,1
Michigan Minds,2025-04-24,Facebook Ads,Amount Spent,Cost,35.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Link Clicks,Engagement,74.0,1,1
Michigan Minds,2025-04-24,Facebook Ads,Cost_like,Cost,0.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Cost_link_click,Cost,0.472973,0,1
Michigan Minds,2025-04-24,Facebook Ads,Cost_onsite_conversion.messaging_welcome_message_view,Cost,0.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Cost_page_engagement,Cost,0.448718,0,1
Michigan Minds,2025-04-24,Facebook Ads,Cost_post_engagement,Cost,0.448718,0,1
Michigan Minds,2025-04-24,Facebook Ads,Cost_rsvp,Cost,0.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Cost_video_view,Cost,0.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Action_comment,Action,0.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Action_like,Action,0.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Action_link_click,Action,74.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Action_onsite_conversion.messaging_welcome_message_view,Action,0.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Action_page_engagement,Action,78.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Action_post,Action,0.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Action_post_engagement,Action,78.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Action_post_reaction,Action,4.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Action_rsvp,Action,0.0,0,1
Michigan Minds,2025-04-24,Facebook Ads,Action_video_view,Action,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Reach,Reach,560.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Impressions,Reach,588.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Frequency,Reach,1.05,0,1
APT Foundation,2025-03-05,Facebook Ads,CPM,Cost,1.020408,0,1
APT Foundation,2025-03-05,Facebook Ads,Clicks,Engagement,0.0,1,1
APT Foundation,2025-03-05,Facebook Ads,Amount Spent,Cost,0.6,0,1
APT Foundation,2025-03-05,Facebook Ads,Link Clicks,Engagement,0.0,1,1
APT Foundation,2025-03-05,Facebook Ads,Cost_like,Cost,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Cost_link_click,Cost,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Cost_onsite_conversion.messaging_welcome_message_view,Cost,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Cost_page_engagement,Cost,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Cost_post_engagement,Cost,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Cost_rsvp,Cost,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Cost_video_view,Cost,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Action_comment,Action,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Action_like,Action,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Action_link_click,Action,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Action_onsite_conversion.messaging_welcome_message_view,Action,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Action_page_engagement,Action,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Action_post,Action,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Action_post_engagement,Action,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Action_post_reaction,Action,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Action_rsvp,Action,0.0,0,1
APT Foundation,2025-03-05,Facebook Ads,Action_video_view,Action,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Reach,Reach,1046.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Impressions,Reach,1203.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Frequency,Reach,1.150096,0,1
APT Foundation,2025-03-06,Facebook Ads,CPM,Cost,1.014131,0,1
APT Foundation,2025-03-06,Facebook Ads,Clicks,Engagement,0.0,1,1
APT Foundation,2025-03-06,Facebook Ads,Amount Spent,Cost,1.22,0,1
APT Foundation,2025-03-06,Facebook Ads,Link Clicks,Engagement,0.0,1,1
APT Foundation,2025-03-06,Facebook Ads,Cost_like,Cost,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Cost_link_click,Cost,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Cost_onsite_conversion.messaging_welcome_message_view,Cost,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Cost_page_engagement,Cost,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Cost_post_engagement,Cost,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Cost_rsvp,Cost,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Cost_video_view,Cost,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Action_comment,Action,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Action_like,Action,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Action_link_click,Action,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Action_onsite_conversion.messaging_welcome_message_view,Action,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Action_page_engagement,Action,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Action_post,Action,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Action_post_engagement,Action,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Action_post_reaction,Action,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Action_rsvp,Action,0.0,0,1
APT Foundation,2025-03-06,Facebook Ads,Action_video_view,Action,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Reach,Reach,1124.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Impressions,Reach,1197.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Frequency,Reach,1.064947,0,1
APT Foundation,2025-03-07,Facebook Ads,CPM,Cost,1.019215,0,1
APT Foundation,2025-03-07,Facebook Ads,Clicks,Engagement,0.0,1,1
APT Foundation,2025-03-07,Facebook Ads,Amount Spent,Cost,1.22,0,1
APT Foundation,2025-03-07,Facebook Ads,Link Clicks,Engagement,0.0,1,1
APT Foundation,2025-03-07,Facebook Ads,Cost_like,Cost,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Cost_link_click,Cost,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Cost_onsite_conversion.messaging_welcome_message_view,Cost,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Cost_page_engagement,Cost,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Cost_post_engagement,Cost,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Cost_rsvp,Cost,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Cost_video_view,Cost,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Action_comment,Action,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Action_like,Action,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Action_link_click,Action,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Action_onsite_conversion.messaging_welcome_message_view,Action,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Action_page_engagement,Action,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Action_post,Action,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Action_post_engagement,Action,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Action_post_reaction,Action,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Action_rsvp,Action,0.0,0,1
APT Foundation,2025-03-07,Facebook Ads,Action_video_view,Action,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Reach,Reach,1029.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Impressions,Reach,1155.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Frequency,Reach,1.122449,0,1
APT Foundation,2025-03-08,Facebook Ads,CPM,Cost,0.978355,0,1
APT Foundation,2025-03-08,Facebook Ads,Clicks,Engagement,0.0,1,1
APT Foundation,2025-03-08,Facebook Ads,Amount Spent,Cost,1.13,0,1
APT Foundation,2025-03-08,Facebook Ads,Link Clicks,Engagement,0.0,1,1
APT Foundation,2025-03-08,Facebook Ads,Cost_like,Cost,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Cost_link_click,Cost,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Cost_onsite_conversion.messaging_welcome_message_view,Cost,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Cost_page_engagement,Cost,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Cost_post_engagement,Cost,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Cost_rsvp,Cost,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Cost_video_view,Cost,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Action_comment,Action,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Action_like,Action,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Action_link_click,Action,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Action_onsite_conversion.messaging_welcome_message_view,Action,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Action_page_engagement,Action,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Action_post,Action,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Action_post_engagement,Action,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Action_post_reaction,Action,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Action_rsvp,Action,0.0,0,1
APT Foundation,2025-03-08,Facebook Ads,Action_video_view,Action,0.0,0,1
APT Foundation,2025-03-09,Facebook Ads,Reach,Reach,1225.0,0,1
APT Foundation,2025-03-09,Facebook Ads,Impressions,Reach,1344.0,0,1
APT Foundation,2025-03-09,Facebook Ads,Frequency,Reach,1.097143,0,1
APT Foundation,2025-03-09,Facebook Ads,CPM,Cost,0.93006,0,1
APT Foundation,2025-03-09,Facebook Ads,Clicks,Engagement,0.0,1,1
APT Foundation,2025-03-09,Facebook Ads,Amount Spent,Cost,1.25,0,1
APT Foundation,2025-03-09,Facebook Ads,Link Clicks,Engagement,0.0,1,1
APT Foundation,2025-03-09,Facebook Ads,Cost_like,Cost,0.0,0,1
APT Foundation,2025-03-09,Facebook Ads,Cost_link_click,Cost,0.0,0,1
APT Foundation,2025-03-09,Facebook Ads,Cost_onsite_conversion.messaging_welcome_message_view,Cost,0.0,0,1
APT Foundation,2025-03-09,Facebook Ads,Cost_page_engagement,Cost,0.0,0,1
