Client_Name,year,month,platform_name,metric_category,total_value
Parker Marketing,2025,2,Facebook Pages,Engagement,1.0
Parker Marketing,2025,2,Facebook Pages,Reach,0.0
Parker Marketing,2025,2,Instagram,Engagement,4418.07
Parker Marketing,2025,2,Instagram,Reach,3498.0
Parker Marketing,2025,2,Website,Engagement,8237.81
Parker Marketing,2025,3,Facebook Pages,Engagement,3.0
Parker Marketing,2025,3,Facebook Pages,Reach,20.0
Parker Marketing,2025,3,Instagram,Engagement,1466.95
Parker Marketing,2025,3,Instagram,Reach,1270.0
Parker Marketing,2025,3,Website,Engagement,15215.55
Parker Marketing,2025,4,Facebook Pages,Engagement,0.0
Parker Marketing,2025,4,Facebook Pages,Reach,0.0
Parker Marketing,2025,4,Instagram,Engagement,2090.68
Parker Marketing,2025,4,Instagram,Reach,1680.0
Parker Marketing,2025,4,Website,Engagement,4648.14
Red Rock,2025,1,Facebook Pages,Engagement,20.0
Red Rock,2025,1,Facebook Pages,Reach,73.0
Red Rock,2025,1,Instagram,Engagement,15.49
Red Rock,2025,1,Instagram,Reach,81.0
Red Rock,2025,2,Facebook Pages,Engagement,61.0
Red Rock,2025,2,Facebook Pages,Reach,262.0
Red Rock,2025,2,Instagram,Engagement,82.96000000000001
Red Rock,2025,2,Instagram,Reach,236.0
Red Rock,2025,3,Facebook Pages,Engagement,82.0
Red Rock,2025,3,Facebook Pages,Reach,186.0
Red Rock,2025,3,Instagram,Engagement,104.53
Red Rock,2025,3,Instagram,Reach,211.0
Red Rock,2025,4,Facebook Pages,Engagement,2626.0
Red Rock,2025,4,Facebook Pages,Reach,60329.0
Red Rock,2025,4,Instagram,Engagement,36.410000000000004
Red Rock,2025,4,Instagram,Reach,149.0
STEP Learning Collaborative,2025,1,Facebook Ads,Engagement,254.0
STEP Learning Collaborative,2025,1,Facebook Ads,Reach,269084.506462
STEP Learning Collaborative,2025,1,Facebook Pages,Engagement,376.0
STEP Learning Collaborative,2025,1,Facebook Pages,Reach,146668.0
STEP Learning Collaborative,2025,1,Instagram,Engagement,40.34
STEP Learning Collaborative,2025,1,Instagram,Reach,110.0
STEP Learning Collaborative,2025,1,Website,Engagement,19011.309999999998
STEP Learning Collaborative,2025,2,Facebook Ads,Engagement,1486.0
STEP Learning Collaborative,2025,2,Facebook Ads,Reach,1744610.617229
STEP Learning Collaborative,2025,2,Facebook Pages,Engagement,1442.0
STEP Learning Collaborative,2025,2,Facebook Pages,Reach,997879.0
STEP Learning Collaborative,2025,2,Instagram,Engagement,9127.43
STEP Learning Collaborative,2025,2,Instagram,Reach,5491.0
STEP Learning Collaborative,2025,2,Website,Engagement,73263.41
STEP Learning Collaborative,2025,3,Facebook Pages,Engagement,1164.0
STEP Learning Collaborative,2025,3,Facebook Pages,Reach,973305.0
STEP Learning Collaborative,2025,3,Instagram,Engagement,639.29
STEP Learning Collaborative,2025,3,Instagram,Reach,799.0
STEP Learning Collaborative,2025,3,Website,Engagement,104624.12
STEP Learning Collaborative,2025,4,Facebook Pages,Engagement,113.0
STEP Learning Collaborative,2025,4,Facebook Pages,Reach,7004.0
STEP Learning Collaborative,2025,4,Instagram,Engagement,294.6
STEP Learning Collaborative,2025,4,Instagram,Reach,341.0
STEP Learning Collaborative,2025,4,Website,Engagement,44154.46
Sunny Dublick Marketing,2025,1,Facebook Pages,Engagement,0.0
Sunny Dublick Marketing,2025,1,Facebook Pages,Reach,3.0
Sunny Dublick Marketing,2025,2,Facebook Pages,Engagement,6.0
Sunny Dublick Marketing,2025,2,Facebook Pages,Reach,7.0
Sunny Dublick Marketing,2025,3,Facebook Pages,Engagement,51.0
Sunny Dublick Marketing,2025,3,Facebook Pages,Reach,10.0
Sunny Dublick Marketing,2025,4,Facebook Pages,Engagement,9.0
Sunny Dublick Marketing,2025,4,Facebook Pages,Reach,9.0
The Barbell Saves Project,2025,1,Facebook Pages,Engagement,125.0
The Barbell Saves Project,2025,1,Facebook Pages,Reach,1820.0
The Barbell Saves Project,2025,1,Instagram,Engagement,2017.83
The Barbell Saves Project,2025,1,Instagram,Reach,2151.0
The Barbell Saves Project,2025,2,Facebook Pages,Engagement,925.0
The Barbell Saves Project,2025,2,Facebook Pages,Reach,8161.0
The Barbell Saves Project,2025,2,Instagram,Engagement,17875.29
The Barbell Saves Project,2025,2,Instagram,Reach,12037.0
The Barbell Saves Project,2025,3,Facebook Pages,Engagement,2313.0
The Barbell Saves Project,2025,3,Facebook Pages,Reach,19101.0
The Barbell Saves Project,2025,3,Instagram,Engagement,27533.80289308176
The Barbell Saves Project,2025,3,Instagram,Reach,24130.0
The Barbell Saves Project,2025,4,Facebook Pages,Engagement,844.0
The Barbell Saves Project,2025,4,Facebook Pages,Reach,12301.0
The Barbell Saves Project,2025,4,Instagram,Engagement,7233.89
The Barbell Saves Project,2025,4,Instagram,Reach,9872.0
The Fempire Co.,2025,1,Facebook Pages,Engagement,0.0
The Fempire Co.,2025,1,Facebook Pages,Reach,0.0
The Fempire Co.,2025,2,Facebook Pages,Engagement,0.0
The Fempire Co.,2025,2,Facebook Pages,Reach,0.0
The Fempire Co.,2025,3,Facebook Pages,Engagement,0.0
The Fempire Co.,2025,3,Facebook Pages,Reach,0.0
The Fempire Co.,2025,4,Facebook Pages,Engagement,0.0
The Fempire Co.,2025,4,Facebook Pages,Reach,0.0
appropriate standardized name,2025,2,Facebook Ads,Engagement,22.0
appropriate standardized name,2025,2,Facebook Ads,Reach,3988.833787
