Client_Name,full_date,platform_name,metric_name,metric_category,value,inferred_post,inferred_post_flag,year,month,top_content,media_type
Catalyst Personal Training Oceanside,2025-03-31,Website,User Engagement Duration,Engagement,193.0,1,1,2025,3,https://399523532.com/symptom-check-quiz/,
STEP Learning Collaborative,2025-03-31,Facebook Pages,Top Post Engagement,Other,0.0,0,1,2025,3,https://www.facebook.com/274708262712843/posts/955996480043545,PHOTO
STEP Learning Collaborative,2025-03-31,Website,Views,Engagement,102.0,1,1,2025,3,https://399523532.com/symptom-check-quiz/,
Parker Marketing,2025-03-31,Website,Top Page URL,Other,0.0,0,1,2025,3,https://399523532.com/symptom-check-quiz/,
Michigan Minds,2025-03-31,Instagram,Top Post Engagement,Other,2.0,0,1,2025,3,https://www.instagram.com/p/DHbd2msy9Iv/,IMAGE
The Barbell Saves Project,2025-03-31,Facebook Pages,Page Views,Engagement,15.0,1,1,2025,3,https://www.facebook.com/433579974142681/posts/1076660987835998,PHOTO
APT Foundation,2025-03-31,Website,New Users,Audience,56.0,0,1,2025,3,https://399523532.com/symptom-check-quiz/,
Michigan Minds,2025-03-31,Facebook Pages,Page Impressions,Reach,3.0,0,1,2025,3,https://www.facebook.com/119420054585889/posts/122247421694031567,PHOTO
NYC TCTTAC,2025-03-31,Website,Event Count,Engagement,123.0,1,1,2025,3,https://399523532.com/symptom-check-quiz/,
APT Foundation,2025-03-31,Facebook Pages,Likes,Engagement,1.0,1,1,2025,3,https://www.facebook.com/107409417291777/posts/1246062684191956,PHOTO
The Barbell Saves Project,2025-03-30,Instagram,Media Reach,Reach,978.0,0,1,2025,3,https://www.instagram.com/reel/DG30OKOypkL/,VIDEO
APT Foundation,2025-03-28,Instagram,Saved,Engagement,0.0,1,1,2025,3,https://www.instagram.com/p/DHlUoQJBqhl/,IMAGE
STEP Learning Collaborative,2025-03-28,Instagram,Media Reach,Reach,156.0,0,1,2025,3,https://www.instagram.com/p/DHJBix-P47D/,IMAGE
Red Rock,2025-03-26,Instagram,Views,Engagement,0.0,1,1,2025,3,https://www.instagram.com/p/DHa7bTkSUQv/,IMAGE
Parker Marketing,2025-03-24,Instagram,Top Post Message,Other,0.0,0,1,2025,3,https://www.instagram.com/p/DHZXyNDSMtF/,IMAGE
Conscious Business Collaborative,2025-03-15,Instagram,Likes,Engagement,9.0,1,1,2025,3,https://www.instagram.com/p/DHPfR04zxMG/,IMAGE
Parker Marketing,2025-02-28,Instagram,Top Post Message,Other,0.0,0,1,2025,2,https://www.instagram.com/p/DGEIhVlSh1o/,IMAGE
NYC TCTTAC,2025-02-28,Website,Top Page URL,Other,0.0,0,1,2025,2,https://399523532.com/,
STEP Learning Collaborative,2025-02-28,Facebook Pages,Page Impressions,Reach,34803.0,0,1,2025,2,https://www.facebook.com/274708262712843/posts/935883958721464,VIDEO
STEP Learning Collaborative,2025-02-28,Website,Engaged Sessions,Engagement,38.0,1,1,2025,2,https://399523532.com/symptom-check-quiz/,
APT Foundation,2025-02-28,Website,Event Count,Engagement,762.0,1,1,2025,2,https://399523532.com/symptom-check-quiz/,
STEP Learning Collaborative,2025-02-28,Instagram,Likes,Engagement,1.0,1,1,2025,2,https://www.instagram.com/reel/DGQd5_fPvrE/,VIDEO
Conscious Business Collaborative,2025-02-28,Website,Views,Engagement,9.0,1,1,2025,2,https://399523532.com/symptom-check-quiz/,
Red Rock,2025-02-28,Facebook Pages,Top Post Engagement,Other,0.0,0,1,2025,2,https://www.facebook.com/136635696398329/posts/1184231357043229,PHOTO
The Barbell Saves Project,2025-02-28,Facebook Pages,Top Post URL,Other,0.0,0,1,2025,2,https://www.facebook.com/433579974142681/posts/1071295315039232,PHOTO
Conscious Business Collaborative,2025-02-28,Facebook Pages,Top Post Engagement,Other,0.0,0,1,2025,2,https://www.facebook.com/634388143435716/posts/636302552255014,PHOTO
Parker Marketing,2025-02-28,Website,Top Page URL,Other,0.0,0,1,2025,2,https://399523532.com/symptom-check-quiz/,
Matelex US,2025-02-28,Facebook Pages,Page Impressions,Reach,1.0,0,1,2025,2,https://www.facebook.com/113220441726937/posts/563862240007376,VIDEO
Calm Nola,2025-02-28,Website,Top Page URL,Other,0.0,0,1,2025,2,https://399523532.com/symptom-check-quiz/,
The Barbell Saves Project,2025-02-27,Instagram,Media Reach,Reach,1440.0,0,1,2025,2,https://www.instagram.com/reel/DGT1068zaHN/,VIDEO
Red Rock,2025-02-26,Instagram,Media Reach,Reach,15.0,0,1,2025,2,https://www.instagram.com/p/DGDmTixSUX3/,IMAGE
Conscious Business Collaborative,2025-02-09,Instagram,Top Post Message,Other,0.0,0,1,2025,2,https://www.instagram.com/p/DFso7nmTBWT/,IMAGE
Red Rock,2025-01-31,Facebook Pages,Top Post Engagement,Other,0.0,0,1,2025,1,https://www.facebook.com/136635696398329/posts/1164316465701385,PHOTO
